agency_cd,site_no,site_number,station_nm,site_tp_cd,lat,long,dec_coord_datum_cd,district_cd,state,county_cd
USGS,4.23014E+14,423014078214201,CT 553,SP,42.50390278,-78.3617861,NAD83,36,NY,9
USGS,4.23026E+14,423026078575901,E  16,SP,42.5072831,-78.9661463,NAD83,36,NY,29
USGS,4.23128E+14,423128078563001,E1192,SP,42.5245052,-78.9414234,NAD83,36,NY,29
USGS,4.23132E+14,423132078562801,E  38,SP,42.52561634,-78.9408679,NAD83,36,NY,29
USGS,4.23132E+14,423132078594601,CT 547,SP,42.52561615,-78.9958695,NAD83,36,NY,9
USGS,4.23154E+14,423154079003501,CT 550,SP,42.53172707,-79.009481,NAD83,36,NY,9
USGS,4.23202E+14,423202078553001,E1193,SP,42.53394965,-78.9247563,NAD83,36,NY,29
USGS,4.23206E+14,423206078252900,WO 218,SP,42.53506236,-78.42446269,NAD83,36,NY,121
USGS,4.23226E+14,423226077550501,LV   9,SP,42.5406204,-77.9177795,NAD83,36,NY,51
USGS,4.23231E+14,423231075143101,OG 398,SP,42.5421222,-75.2422083,NAD83,36,NY,77
USGS,4.23233E+14,423233076394600,TM 292,SP,42.5425717,-76.6624476,NAD83,36,NY,109
USGS,4.23308E+14,423308078160101,WO  13,SP,42.5522845,-78.2666798,NAD83,36,NY,121
USGS,4.23311E+14,423311078104401,WO  15,SP,42.55311829,-78.1786214,NAD83,36,NY,121
USGS,4.23321E+14,423321076145001,"Main spring at Tunison Lab, NY",SP,42.5558333,-76.2472222,NAD83,36,NY,23
USGS,4.23328E+14,423328076145601,"North Spring at Tunison Lab, NY",SP,42.55777778,-76.24888889,NAD83,36,NY,23
USGS,4.23357E+14,423357077564800,LV 277,SP,42.5658975,-77.9463918,NAD83,36,NY,51
USGS,4.23357E+14,423357077564801,LV  27,SP,42.5658975,-77.9463918,NAD83,36,NY,51
USGS,4.23449E+14,423449078152000,WO 220,SP,42.5803398,-78.2552907,NAD83,36,NY,121
USGS,4.23517E+14,423517077242201,OT 856,SP,42.58830278,-77.406325,NAD83,36,NY,69
USGS,4.23607E+14,423607076200301,TM1132,SP,42.6020972,-76.3343167,NAD83,36,NY,109
USGS,4.23641E+14,423641077255701,OT 857,SP,42.61161389,-77.4325056,NAD83,36,NY,69
USGS,4.2375E+14,423750074191101,SO 111,SP,42.63063127,-74.3193027,NAD83,36,NY,95
USGS,4.23754E+14,423754074190801,SO 112,SP,42.63174238,-74.3184693,NAD83,36,NY,95
USGS,4.23802E+14,423802078025500,WO 221,SP,42.63395148,-78.04834018,NAD83,36,NY,121
USGS,4.23804E+14,423804074040001,A  49,SP,42.63452166,-74.0662406,NAD83,36,NY,1
USGS,4.23806E+14,423806074190001,SO 120,SP,42.63507569,-74.3162469,NAD83,36,NY,95
USGS,4.23806E+14,423806074212101,SO 121,SP,42.6350756,-74.35541478,NAD83,36,NY,95
USGS,4.23815E+14,423815077354700,LV 278,SP,42.63756605,-77.5961042,NAD83,36,NY,51
USGS,4.23832E+14,423832078060601,WO 356,SP,42.6423333,-78.1017806,NAD83,36,NY,121
USGS,4.23941E+14,423941074182901,SO 157,SP,42.6614644,-74.3076343,NAD83,36,NY,95
USGS,4.23943E+14,423943077460400,LV 279,SP,42.66200908,-77.7674989,NAD83,36,NY,51
USGS,4.23951E+14,423951074132801,SO 172,SP,42.6642424,-74.2240207,NAD83,36,NY,95
USGS,4.24E+14,424000074194801,SO 180,SP,42.6667421,-74.3295793,NAD83,36,NY,95
USGS,4.24011E+14,424011074193801,SO 182,SP,42.66979765,-74.3268013,NAD83,36,NY,95
USGS,4.24012E+14,424012074194801,SO 183,SP,42.6700754,-74.3295791,NAD83,36,NY,95
USGS,4.24025E+14,424025074074501,A  51,SP,42.6736875,-74.1287407,NAD83,36,NY,1
USGS,4.24025E+14,424025074192101,SO 189,SP,42.6736865,-74.3220787,NAD83,36,NY,95
USGS,4.24036E+14,424036074191301,SO 204,SP,42.67674205,-74.31985629,NAD83,36,NY,95
USGS,4.24037E+14,424037074191101,SO 209,SP,42.6770198,-74.3193007,NAD83,36,NY,95
USGS,4.24038E+14,424038074214801,SO 210,SP,42.67729756,-74.3629132,NAD83,36,NY,95
USGS,4.24042E+14,424042074213201,SO 211,SP,42.67840867,-74.35846859,NAD83,36,NY,95
USGS,4.24043E+14,424043074143501,SO 468,SP,42.6786866,-74.2426315,NAD83,36,NY,95
USGS,4.24046E+14,424046074162401,SO 220,SP,42.67951986,-74.27291018,NAD83,36,NY,95
USGS,4.24048E+14,424048074165801,SO 547,SP,42.68026389,-74.2828,NAD83,36,NY,95
USGS,4.2405E+14,424050074185901,SO 241,SP,42.6806309,-74.3159671,NAD83,36,NY,95
USGS,4.24052E+14,424052074170201,SO 243,SP,42.6811865,-74.283466,NAD83,36,NY,95
USGS,4.24059E+14,424059074171001,SO 267,SP,42.6831309,-74.2856882,NAD83,36,NY,95
USGS,4.24105E+14,424105074154301,SO 269,SP,42.6847976,-74.26152068,NAD83,36,NY,95
USGS,4.24115E+14,424115074232301,SO 294,SP,42.6875752,-74.3893026,NAD83,36,NY,95
USGS,4.24115E+14,424115074233701,SO 295,SP,42.6875752,-74.3931916,NAD83,36,NY,95
USGS,4.24118E+14,424118074152101,SO 300,SP,42.6884087,-74.2554092,NAD83,36,NY,95
USGS,4.24118E+14,424118074231401,SO 301,SP,42.68840857,-74.3868024,NAD83,36,NY,95
USGS,4.2412E+14,424120074185201,SO 303,SP,42.68896419,-74.3140222,NAD83,36,NY,95
USGS,4.24122E+14,424122074230901,SO 308,SP,42.68951967,-74.3854135,NAD83,36,NY,95
USGS,4.24127E+14,424127074153901,SO 309,SP,42.69090868,-74.2604092,NAD83,36,NY,95
USGS,4.24128E+14,424128074205401,SO 313,SP,42.69118636,-74.3479121,NAD83,36,NY,95
USGS,4.24134E+14,424134074271601,SO 469,SP,42.6928529,-74.4540267,NAD83,36,NY,95
USGS,4.24136E+14,424136074244501,SO 317,SP,42.6934085,-74.4120808,NAD83,36,NY,95
USGS,4.24138E+14,424138074170201,SO 318,SP,42.69396419,-74.2834654,NAD83,36,NY,95
USGS,4.24143E+14,424143074131201,SO 328,SP,42.6953533,-74.2195748,NAD83,36,NY,95
USGS,4.24147E+14,424147074163501,SO 340,SP,42.69646418,-74.275965,NAD83,36,NY,95
USGS,4.24154E+14,424154074203001,SO 343,SP,42.6984085,-74.3412449,NAD83,36,NY,95
USGS,4.24203E+14,424203074221201,SO 354,SP,42.7009085,-74.3695791,NAD83,36,NY,95
USGS,4.24216E+14,424216078465701,E1194,SP,42.70450416,-78.782253,NAD83,36,NY,29
USGS,4.2433E+14,424330077533501,LV  90,SP,42.7250626,-77.8927811,NAD83,36,NY,51
USGS,4.24418E+14,424418073494601,A  22,SP,42.7384111,-73.8290106,NAD83,36,NY,1
USGS,4.24608E+14,424608075441700,M 212,SP,42.76895607,-75.7376879,NAD83,36,NY,53
USGS,4.2482E+14,424820076073501,OD1915,SP,42.80555556,-76.12638889,NAD83,36,NY,67
USGS,4.24821E+14,424821076084701,OD1936,SP,42.80588889,-76.14638889,NAD83,36,NY,67
USGS,4.2483E+14,424830076084401,OD 476,SP,42.8084007,-76.1452039,NAD83,36,NY,67
USGS,4.2483E+14,424830076084501,OD 477,SP,42.8084007,-76.1454816,NAD83,36,NY,67
USGS,4.24853E+14,424853076075701,OD 475,SP,42.81478955,-76.13214788,NAD83,36,NY,67
USGS,4.2492E+14,424920074395301,OG 736,SP,42.82177778,-74.6659722,NAD83,36,NY,77
USGS,4.24931E+14,424931076075501,OD1934,SP,42.8254722,-76.13202778,NAD83,36,NY,67
USGS,4.24931E+14,424931076075502,OD1939,SP,42.82544444,-76.13202778,NAD83,36,NY,67
USGS,4.24954E+14,424954076074701,OD1935,SP,42.83180556,-76.1298611,NAD83,36,NY,67
USGS,4.25018E+14,425018077531301,LV 175,SP,42.8383954,-77.886672,NAD83,36,NY,51
USGS,4.25042E+14,425042076413501,CY  52,SP,42.8450683,-76.69272628,NAD83,36,NY,11
USGS,4.25103E+14,425103074460901,OG 299,SP,42.85090648,-74.7687582,NAD83,36,NY,77
USGS,4.25111E+14,425111076083101,OD1857,SP,42.8531226,-76.1415922,NAD83,36,NY,67
USGS,4.25111E+14,425111077464701,LV 520,SP,42.85294444,-77.7798167,NAD83,36,NY,51
USGS,4.25113E+14,425113076082401,OD1855,SP,42.85367818,-76.1396477,NAD83,36,NY,67
USGS,4.25113E+14,425113076083403,OD 474,SP,42.85367818,-76.1424256,NAD83,36,NY,67
USGS,4.25113E+14,425113076083405,OD 473,SP,42.85367818,-76.1424256,NAD83,36,NY,67
USGS,4.25116E+14,425116076082701,OD1856,SP,42.8545115,-76.140481,NAD83,36,NY,67
USGS,4.25117E+14,425117076083001,OD 466,SP,42.85478929,-76.1413144,NAD83,36,NY,67
USGS,4.25118E+14,425118076082101,OD1931,SP,42.85525,-76.1393333,NAD83,36,NY,67
USGS,4.25119E+14,425119076082301,OD1930,SP,42.85541667,-76.13975,NAD83,36,NY,67
USGS,4.2512E+14,425120076082201,OD1813,SP,42.8556226,-76.1390921,NAD83,36,NY,67
USGS,4.25121E+14,425121076082201,OD1929,SP,42.8558333,-76.1396944,NAD83,36,NY,67
USGS,4.2513E+14,425130076082001,OD1858,SP,42.85840037,-76.1385365,NAD83,36,NY,67
USGS,4.25131E+14,425131076082001,OD 431,SP,42.85867814,-76.1385365,NAD83,36,NY,67
USGS,4.25138E+14,425138076082601,OD1938,SP,42.86069444,-76.1405556,NAD83,36,NY,67
USGS,4.25211E+14,425211076091201,OD1933,SP,42.8697222,-76.1533333,NAD83,36,NY,67
USGS,4.25238E+14,425238076092001,OD1808,SP,42.87638889,-76.1553056,NAD83,36,NY,67
USGS,4.25255E+14,425255074500301,OG   3,SP,42.88201699,-74.8337608,NAD83,36,NY,77
USGS,4.25304E+14,425304076080701,OD1911,SP,42.88471944,-76.13527778,NAD83,36,NY,67
USGS,4.25319E+14,425319076083601,OD 621,SP,42.87693889,-76.13931389,NAD83,36,NY,67
USGS,4.25323E+14,425323074502901,HE 383,SP,42.8897946,-74.8409833,NAD83,36,NY,43
USGS,4.25323E+14,425323076094701,OD1937,SP,42.88991667,-76.16313889,NAD83,36,NY,67
USGS,4.25324E+14,425324074502501,HE 384,SP,42.8900724,-74.83987219,NAD83,36,NY,43
USGS,4.25328E+14,425328074475301,HE 485,SP,42.89118367,-74.7976483,NAD83,36,NY,43
USGS,4.25413E+14,425413075065301,HE  10,SP,42.9036823,-75.1143262,NAD83,36,NY,43
USGS,4.25416E+14,425416075304601,M 305,SP,42.90454167,-75.5128694,NAD83,36,NY,53
USGS,4.25437E+14,425437077472101,LV 525,SP,42.91029167,-77.7892667,NAD83,36,NY,51
USGS,4.25453E+14,425453074491901,HE 484,SP,42.9147944,-74.82153818,NAD83,36,NY,43
USGS,4.25526E+14,425526076123401,OD1844,SP,42.92377778,-76.2094444,NAD83,36,NY,67
