site_number,nitrate,GPM,state
394141076413501,,,MD
394142076161101,,,MD
394144076331001,,,MD
394144077462101,,,MD
394145076325701,,,MD
394145077273001,,,MD
394146078532001,,,MD
394147077462001,,,MD
394147078571401,,,MD
394150077224901,,,MD
394150077461401,,,MD
394151078125401,,,MD
394152076330501,,,MD
394153076325701,11,,MD
394156078363501,,,MD
394201076433801,,,MD
394201078385401,,,MD
394202077282601,,,MD
394202078124801,,,MD
394203078181101,,,MD
394204076434901,,,MD
394204077422301,,,MD
394204077422401,,,MD
394206078530901,,,MD
394208078340701,,,MD
394219077330101,,,MD
394220077325501,,,MD
394223077333201,,,MD
394223078182101,0.77,,MD
394224077513001,,,MD
394224078192801,,,MD
394226077512201,,,MD
